,movie_title,review_content,review_score
12513,The River Wild,"Constructed from so many ideas, characters and situations recycled from other movies that all the way down the river I kept thinking: Been there. Done that.",2/4
12514,Rivers and Tides: Andy Goldsworthy Working With Time,A mesmerizing movie that is so incredibly tranquil and uniquely lovely that it is an artistic creation itself.,3.5/4
12515,River's Edge,This is the best analytical film about a crime since The Onion Field and In Cold Blood.,3.5/4
12516,River's Edge (Ribazu ejji),"Yukisada, a veteran who has made unblinking dramas about the young something of a specialty, has never hesitated to turn up the emotional and physical heat and River's Edge is no exception.",4/5
12517,Rize,"A brilliant new documentary by David LaChapelle, ably and exuberantly demonstrates how fertile and renewing the hip-hop world is by chronicling the rise of a startling new hip-hop subculture.",5/5
12518,"Road, Movie","An occasionally lyrical, occasionally confused indie.",3/5
12519,Road Games,Underrated psycho-thriller from down under.,4/5
12520,Road Games,"Interesting yet over-long, melodramatic and fatally predictable, Road Games is a backwoods horror film with a sheen of class, respectability and Barbara Crampton. These things go some way to save the day.",7/10
12521,Road Hard,"Considering the source, shocking sweet. And funny.",2.5/4
12522,Road to Bali,"Even in color, this 'Road' picture seems a little tired",3/5
12523,The Road to El Dorado,Kline and Branagh create a camaraderie that fills the film with an infectious energy.,3/4
12524,The Road To Guantanamo,"For telling America to acknowledge how far the country has deviated from its values and how painfully it has failed to make the world safer, this is the most important movie of the year.",4/5
12525,The Road to Love,"Mature, sensitive study of homosexuality within North African societies.",3/5
12526,Road to Morocco,"Bing, Bob, Dottie, a talking camel, and great songs",5/5
12527,Road To Nowhere,"The independent film world might never have asked for its own Basic Instinct, but it got one anyway with Road to Nowhere.",2/5
12528,Road to Paloma,"A biker B-movie backed by the WWE, co-written and directed by Jason Momoa, can be a work of art. Seriously.",2.5/4
12529,Road to Perdition,Marvelously combines the gangster genre with coming-of-age themes. First 4-star movie of the year.,4/4
12530,Road to Singapore,Hope and Crosby still a bit rough around the edges.,3/5
12531,Road to Utopia,"Bing and Bob off on another road, in the fourth -- and many say funniest -- of their famous 'Road' series. If nothing else, it may be their wildest.",4.5/5
12532,Road to Zanzibar,Best of the 'Road' pictures scores as a great satire of all 'Darkest Africa' movies,5/5
12533,Roadie,...a one-note comedy whose darker undertones are never fully explored.,5/10
12534,Roadside Prophets,"A failed, would-be cult item with funny cameos.",2/5
12535,Roadside Romeo,"A case of everything old feeling new again, for it is truly a refreshing and boundary-pushing entry in the world of feature animation.",3/4
12536,Roar,"There's really not much going on with Roar storywise. But then you take a step back and think about what it is that you're watching. My viewing of Roar was set to a soundtrack of ""Oh my God!"" and ""Holy crap!"", all of my own making.",4/5
12537,The Roaring Twenties,An epochal rise-and-fall epic of the gangster cycle.,3.5/4
12538,Rob the Mob,"A rollicking crime story filled with humor, pathos and stupidity.",A-
12539,The Robe,"Among the interesting qualities The Robe has to offer, its sense of social transcendence ranks among the worthiest, alongside the film's demystification of religion, and decentralization of its protagonists.",76/100
12540,Robert the Bruce,There were expectations that RtB would be a kind of sequel to Mel Gibson's 1995 Oscar winner. If only.,2/5
12541,Roberta,Good Astaire-Rogers musical that suffers slightly from subplot.,4/5
12542,Robin and Marian,Depressing but inventive.,3/5
12543,Robin and the Seven Hoods,Saddled by an endless procession of awful musical numbers,2.5/5
12544,Robin Hood,"While it's true that this Robin Hood is unlike any you've seen before, it's also one that you may not want to see again.",C+
12545,Robin Hood,"Everything is overwrought, but attitude can only go so far. The action, effects and antics are meaningless without just a bit of originality in the script.",2/5
12546,Robin Hood: Men in Tights,"Maybe [Brooks thinks he's] catching those Naked Gun/Hot Shots whippersnappers at their own game. Sadly, no.",2/5
12547,Robin Hood: Prince of Thieves,"Robin Hood: Prince of Thieves is a murky, unfocused, violent and depressing version of the classic story, with little of the lightheartedness and romance we expect from Robin Hood.",2/4
12548,Robin's Wish,"This movie is sad, like really sad, but also inspiring. My main takeaway is that we need need a cure, or at the very least a better treatment, for Lewy Body Dementia",4/5
12549,Robinson Crusoe on Mars,A lowbudget and unnoticed sci-fi film that is a gem.,B+
12550,Robocop 2,"Despite a few laughs and some exciting moments, RoboCop 2 is a mess.",1.5/4
12551,RoboCop 3,"No, it's not a good movie. In fact, it's really quite awful, to be honest.",1/5
12552,Robot & Frank,"Schreier elicits warm performances from Langella and Susan Sarandon, and even from his robot (voiced by Peter Sarsgaard).",B
12553,Robot Overlords,"Robot Overlords feels like yet another busted franchise pilot in search of an audience. It's too brash for families, too babyish and obvious for teens.",2/5
12554,Robot Stories,"The four stories expertly touch on the human side of relationships, even when using robots, toys or uploaded memories to get their points across.",3.5/5
12555,Robots,"Witty, smart, and neither written down nor schmutzed up in order to appeal to a particular demographic. . . the writers have given themselves over to pure sense of fun.",5/5
12556,Robyn Hitchcock - Storefront Hitchcock,A raw showing of Robyn Hitchcock's genius.,4/5
12557,Rocco and His Brothers (Rocco e i suoi fratelli),A stirring and expansive family epic.,4/4
12558,Rock-a-Doodle,"The movie has some good songs and some lively animation, but what bothered me was that most of the interaction between characters was on the level of violence.",2/4
12559,Rock Dog,"Bodi is a likeable hero and it is fun to see his cheery optimism paired with the burned-out, cynical Angus.",B
12560,Rock 'N' Roll Frankenstein,"But a film this scatological, sacrilegious and down-right gross will not be something that many filmgoers will be able to stomach.",2/4
12561,Rock of Ages,"As a story, Rock of Ages is all over the place, but the performers are clearly having a blast, and their enjoyment is infectious.",3/5
12562,Rock Rubber 45s,"Brisk, entertainingly cut, informative -- but oh-so-self-serving self-portrait of a self-described ""cultural orchestrator.""",2.5/4
12563,Rock Star,"...does an outstanding job of capturing a particular time and place, with an instinct for both the sublime and the ridiculous about an exceedingly odd period in rock history.",B
12564,Rock the Bells,"While ""much ado about nothing"" might be overstating things, after more than an hour and a half of buildup, it would have been nice to see Wu-Tang perform.",2.5/4
12565,Rock the Kasbah,Rock the Kasbah isn't horrible as much as it's just horribly misguided.,4.5/10
12566,Rock-a-Bye Baby,A very average farce.,2.5/5
12567,Rockaway,"Attempts at giving this ""Stand by Me"" meets ""The Sandlot"" an ""edge"" are overwhelmed by efforts to rub that edge off.",1.5/4
12568,Rockers,The sheer life in Rockers has survived well.,3/5
12569,Rocket Science,"For all its quirky characterizations, semi-clever dialogue and convention-defying plot contortions, Rocket Science is a fairly schizophrenic affair.",3.5/5
12570,Rocket Singh - Salesman of the Year,"Sporadically amusing, but it often drags and feels contrived and dull while suffering from an uneven balance of comedy, drama, romance and social criticism.",4.75/10
12571,The Rocketeer,"Okay special effects, but the story tends to drag and ultimately the most interesting thing in it is sumptuous Jennifer Connelly's cleavage.",2.5/4
12572,RocketMan,"RocketMan is not inspired or brilliant or original, but it's the kind of movie that gives you a goofy grin half of the time.",3/4
12573,Rocketman,"Taron is an incredible screen force with endless charisma and charm, it's no wonder Elton was adamant he should take on the role.",3/5
12574,The Rocking Horse Winner,"Pelissier's bold expressionistic cinematography during the [rocking horse] sequences taps into the nightmare logic of a child's dreams, spinning into delirium.",4.5/5
12575,RocknRolla,"RocknRolla is a return to form for Ritchie and an enjoyable, well made crime caper that should delight fans of Lock, Stock and Snatch.",4/5
12576,Rocko's Modern Life: Static Cling,"Rocko's Modern Life: Static Cling is a revival that, at least to this casual fan's eye, recaptures everything that made the original series what it was.",5/5
12577,Rockstar,"A simple story, beautifully enacted, perfectly crafted, there is not much to fault in this film. Exemplary cinema by any standards.",4/5
12578,Rocky Balboa,"It turns out that the added years only benefit the character, making him seem touchingly new because he's so old.",B
12579,The Rocky Horror Picture Show,"...the king of the hill of midnight movies, the undisputed champion of camp, the consummate cult classic.",7/10
12580,Rocky II,"While cruder than the first film, Rocky II successfully drives its hero back to the underdog status needed to make the final fight as exciting and satisfying as it is.",4/5
12581,Rocky III,Another return to the ring for Rocky Balboa sees Stallone ditch drama for all-out adrenalin-fuelled entertainment.,4/5
12582,Rocky IV,"Even Sylvester Stallone seems to be getting tired of the series; as the writer and director, as well as the star, he puts himself through the same old paces.",2/4
12583,Rocky Road to Dublin,This is a tough but tender snapshot whose sociological and artistic merits have stood the test of time.,4/5
12584,Rocky V,Even Stallone seems to be sleepier than usual here.,1.5/4
12585,Rodan,As tedious and lethargic as [the original] Godzilla was smart and engaging.,1/5
12586,Rodents of Unusual Size,"An unusually effective film about these very unusual nutria, 'Rodents of Unusual Size' is an exceptional work of non-fiction that illuminates as much as it entertains.",B+
12587,Rodin,Jacques Doillon has directed a quite excruciatingly bad film about the sculptor Auguste Rodin and he needs to sit down and think about what he has done.,1/5
12588,Rodney King,"Drenched in sweat, looming large but speaking with an impassioned hush, Smith delivers his achronological history lesson like a man possessed, channeling the rage of a nation into a breathless, rat-a-tat flurry ...",B-
12589,Roger & Me,demonstrates that this genr can be as hilarious as any comedy on the market and provide some sharp political muckraking to boot.,A-
12590,Roger Corman's Death Race 2050,"Don't expect it to eclipse the original - assuming the original is your cup of tea to begin with, of course - but there's still a surprising amount of gas left in this particular tank.",3/5
12591,Roger Dodger,"A fresh, original look at sex, replete with scathing humor, pathos and memorable characters.",3.5/5
12592,Roger Waters The Wall,"Roger Waters The Wall ends up being just another brick in the source material's audacious history, of which Waters should be trusted to continue finding success at telling.",B+
12593,Rogue,"Rogue should proudly occupy so-bad-it's-good territory, but aside from a lion sprung to life on what looks like PlayStation 2 hardware, there's nothing fun or entertaining about this grossly incompetent Predator knock-off.",1.5/5
12594,Rogue One: A Star Wars Story,"While the principal characters are new, Edwards ensures there are enough significant nods to the Star Wars universe to enchant fans.",4/5
12595,Role Models,McLovin runs away with the movie and exploring his nerddom pays huge dividends.,3.5/5
12596,Roll Bounce,A frothy blend of sports drama clichés and Sixteen Candles-esque angst with a knack for authentic period detail.,2.5/4
12597,Rollerball,"So the script's a little laboured, but for shere exuberance and adrenaline pumping you don't get better than this unless you're at a rave.",3/5
12598,Rollerball,"Say this for the soundtrack, it drowns out the lousy dialogue.",0.5/5
12599,Rolling Family,"While the film is completely unpretentious and moves at a pleasant pace, it's also lightweight.",2/4
12600,Rolling Thunder Revue: A Bob Dylan Story By Martin Scorsese,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese is certainly an astonishing achievement in film.,4.5/5
12601,Rollover,"A talented filmmaker made a thriller that was absolutely no better than it had to be, and indeed it is quite thrilling, when it is not forcing us to watch its cardboard characters.",6/10
12602,Roma,Too often Roma feels dramatically insipid (the family is actually profoundly boring) and unsure of what it's trying to say about Cleo's life and her status - if it's saying anything at all.,2/5
12603,Roman de gare,"It's vintage Lelouch, a cinematic page-turner racing from chic winery to hardscrabble farm to sleek yacht on the Mediterranean.",3/4
12604,Roman Holiday,"Director William Wyler delivers some of the most stunning black and white visions of Rome ever put on film. Considering how many eye-filling extravaganzas have been set in the eternal city, that's really saying something.",4/5
12605,"Roman J. Israel, Esq.","Overall Roman J. Israel, Esq. is another iconic Denzel Washington movie, and one that seems sure to get him some Oscar attention this fall.",8/10
12606,Roman Polanski: Wanted and Desired,"Is Polanski a great filmmaker who made a mistake, or a perverted coward who ran from the law instead of facing the music?",3.5/5
12607,Romance & Cigarettes,Bargain-basement Dennis Potter,1.5/4
12608,Romance on the High Seas,Goofy and good-humored debut for Doris Day,3/5
12609,Romancing the Stone,"Entertaining, adventurous, short, and somewhat dated.",7/10
12610,Romántico,Romantico works best as a beautifully executed and inspirational work of self-sacrifice.,3/5
12611,Romantics Anonymous,"Reese Witherspoon, the American remake's for you.",3/4
12612,Romeo and Juliet,"Today's version will likely become a cheat sheet for slacking students, but it won't inspire them to open their hearts to the text.",3/5
12613,Romeo And Juliet (Broadway Hd),"The director does a good job finding the shallow notes of youth and fleshing some humour from these old bones, but the burning love nut never gets roasted to perfection.",3/5
12614,Romeo & Juliet in Yiddish,"The story has running some real comic possibilities, but few make it to the finish line",4/10
12615,Romeo and Juliet: Sealed With a Kiss,A comprehensive list of what's wrong with Romeo & Juliet: Sealed With a Kiss would stretch farther than the unabridged works of William S.,1/5
12616,Romeo Is Bleeding,Romeo is bleeding and we just don't care.,2/5
12617,Romeo Must Die,"Romeo Must Die has a great look and an edgy feel, along with some broad swaths of humor.",4/5
12618,Romero,"The film's weakness is a certain implacable predictability: We can feel at every moment what must happen next, and the over-all trajectory of the film seems ordained even in the first few shots. As a result, the film doesn't stir many passions.",2.5/4
12619,Romper Stomper,"While the film often draws comparisons to A Clockwork Orange, Romper Stomper doesn't carry the gravity that the Malcolm McDowell classic does.",3/5
12620,"Romulus, My Father","For all its sad moments, Romulus, My Father is a love story between father and son kept aloft by unalloyed admiration.",3.5/5
12621,Romy and Michele's High School Reunion,Kudrow and Sorvino nail the blonde-buddy thing,A
12622,Rondo,"This low-budget thriller is worth a view, once you lower your expectations a dozen notches.",6/10
12623,Ronin,Ronin is a generally familiar if murky and occasionally pretentious exercise.,2/4
12624,Rookie of the Year,"This movie is not likely to make my list of the year's best, but I can remember those miserable Little League games and so in a modest way I'm grateful for this film. It is pure wish-fulfillment, 40 years after I needed it.",3/4
12625,Room,Abrahamson seamlessly translates Donaghue's work into cinematic terms.,A-
12626,Room 237,"Hopefully Ascher will continue this trend by examining all the hidden tricks, gimmicks and stylings of other brain-twisting cinematic treats as they can provide genuine insight into the work of a director. Even if it's all just nonsense.",3/4
12627,Room 6,Room 6 is so repetitive in its gotcha fright tactics that it soon downgrades from mildly scary to silly to wholly absurd.,1.5/5
12628,Room For Rent,"In all honesty, there's not a lot of deep laughs. But Room for Rent is a funny, light comedy that stays a step ahead of the audience. It's solid story and with solid performances worth checking out.",3.5/5
12629,Room for Rent,"Room for Rent has all the right pieces to be a great thriller, but it fails to deliver on its promise.",5/10
12630,Roommates,"The pieces were in place for a nice little story, but by trying to do too much with it, Roommates overshoots the runway.",2.5/4
12631,Rooster Cogburn,"The whole movie seems so contrived, so obviously a vehicle for its stars and for their former, happier roles, that finally we just get depressed. Talent shouldn't be thrown around like this.",1/4
12632,Rope,"It's a curiosity more than anything else, worth seeing once by fans of Hitchcock and film buffs in general, but not one that might appeal to everyone.",3/4
12633,Rory O'Shea Was Here,"Thanks to strong performances and some bracing one-liners, O'Donnell makes a convincing case for equality for disabled people in society, though casting able-bodied actors as his wheelchair-driving protagonists unavoidably weakens his argument.",4/5
12634,Rory Scovel Tries Stand-up For The First Time,"Weird is wonderful, as [Rory] Scovel has proven time and again throughout his career, but that means creating new structures to showcase it, not relying on the scaffolding that already exists.",6.9/10
12635,Rose Marie,"Rose Marie (1936) is the film with the best-remembered pairing of ""America's Singing Sweethearts.""",A
12636,The Rose Tattoo,"Anna Magnani shines ... but the stagebound feel of the film, and especially some wretched overacting by Burt Lancaster, almost sink it.",2.5/5
12637,Roseanne for President!,Ragtag though fairly amusing ...,2.5/4
12638,Rosemary's Baby,...the humor in no way minimizes the film's ability to frighten and unnerve us.,9/10
12639,Rosencrantz and Guildenstern Are Dead,"A mess, but a damn amusing one.",4/5
12640,Rosencrantz and Guildenstern Are Undead,Displays both sharp literary intelligence and tongue-in-cheek pop silliness.,4/5
12641,Rosenstrasse,"While the subject matter is compelling and powerful, von Trotta's approach is uninspired and terribly sentimental.",2/5
12642,Rosewater,"Imagine a rousing ""Daily Show"" episode without the jokes.",C+
12643,Rosewood,Neither the film's smug white bigots nor its uniformly noble blacks are well served by such oversimplification.,2.5/4
12644,Rough Night,Rough Night didn't rewrite the book and it's often thoroughly silly. But it's also - like hen's nights are supposed to be but never are - a lot of fun.,3/5
12645,'Round Midnight,"You do not need to know a lot about jazz to appreciate what is going on because, in a certain sense, this movie teaches you everything about jazz that you really need to know.",4/4
12646,Roustabout,Better than average Elvis vehicle.,3/5
12647,Roving Mars,"Based on actual photos the rovers continue to buzz back to planet Earth, the CGI landscapes are impressive but the camera maneuvers are ungodly.",2/4
12648,Roxanne,"All of the corners of this movie have been filled with small, funny moments.",3.5/4
12649,Roxanne Roxanne,Gets by on the swagger of newcomer Chante Adams' furious performance and its immersion into the style and culture of hip-hop,3/5
12650,Roxie Hart,Rogers seemed lost.,2.5/5
12651,Royal Wedding,Mostly I sat amazed at Astaire's dancing.,3.5/5
12652,Rubber,"Might be hard to appreciate at first, but if you give Rubber a chance, Robert will roll into your heart, make you laugh and give you nightmares all at the same time.",3.5/5
12653,Ruby Bridges,"Ruby is an inspiring and cute little girl. The film revisits a shameful past and shows what a powerful force moral fortitude can be, even in a child.",73/100
12654,Ruby Sparks,"""Ruby Sparks"" is a humorous observation of the dysfunctional ground between men and women, especially during the early stages of a relationship. It has ""date-movie"" written all over it.",B
12655,Rudderless,"Crudup is as good as it gets when playing impaired, almost always making choices that are unexpected and manage to be funny without minimizing the depth of intoxication.",B+
12656,Rudo y Cursi,Gael García Bernal and Diego Luna reunite in Rudo y Cursi to denigrate rubes from Jalisco as slow-witted provincial brothers and banana plantation workers whose unlikely rise to soccer stardom supplies the purported comedy.,1/4
12657,Rudolph and Frosty: Christmas in July,"Dark, creepy story lacks Yuletide spirit.",1/5
12658,Rudy,"Astin's performance is so self-effacing, so focused and low-key, that we lose sight of the underdog formula and begin to focus on this dogged kid who won't quit. And the last big scene is an emotional powerhouse, just the way it's supposed to be.",3.5/4
12659,Rugrats Go Wild,Rugrats Go Wild! successfully exploits a series of run-ins between the two clans.,2.5/4
12660,Rugrats in Paris - The Movie,"Despite its hackneyed premise, the plot has a few imaginative twists, and the pack of Japanese sumo-wrestler waiters who grunt out a karaoke version of Bad Girls are a riot.",3/5
12661,The Rugrats Movie,It's a great film. Go see it. Go enjoy it. Don't forget the kids.,4/5
12662,Ruin Me,It's DeFrancis' feature debut and will certainly succeed in getting him noticed.,3/5
12663,Rules Don't Apply,"If its somewhat unfocused narrative comes at the cost at a picture that could be more cohesive and concise, it still gifts viewers with characters and an era that's entertaining to explore.",B
12664,The Rules of Attraction,Trick photography and a merry go roundelay of trysts make this a strong film despite its redundancies.,3/4
12665,Rules of Engagement,"Rules of Engagement isn't a bad film, but it's one that is often too dramatically and intellectually inert to warrant a full recommendation.",2.5/4
12666,Rumble Fish,"A seminal work in teen films, shot appropriately in B/W (except for the fish).",B+
12667,Rumble in the Bronx,"Despite the picture's numerous shortcomings, Rumble in the Bronx still packs more laughs and inventive action than most of Hollywood's jaded action product.",3/5
12668,RUMBLE: The Indians Who Rocked the World,A stirring documentary on the impressive contributions of Indians to popular music.,4.5/5
12669,Rumor Has It,"Even if it never quite jumps out of the tried-and-true mould, the sharp cast and clever script spice things up.",3.5/5
12670,Run for Cover,"Ray endows it with his usual themes of generational conflict and societal injustice, and does a powerful job getting these themes across.",A
12671,Run All Night,"Liam Neeson delivers afresh in an edge-of-your-seat, high body-count thriller every bit as good as they come!",4/4
12672,Run & Jump,Romantic Irish whimsy with a dark undertone,3/4
12673,Run for the Money,It beats sitcom reruns.,3/5
12674,Run Lola Run,"""Run Lola Run"" is the music video you've been dreaming for movies to be.",3/4
12675,The Run of the Country,"The movie has too many scenes that work well on their own, but don't add to the final effect.",2.5/4
12676,Run Ronnie Run!,"The creators of Mr. Show bring the hilarious saga of Ronnie Dobbs to the big screen. David Cross and Bob Odenkirk deliver two of the year's funniest performances...as of June, this is the year's best comedy.",4/5
12677,"Run Silent, Run Deep",Clark Gable and Burt Lancaster headline a tense WWII submarine adventure as battling officers.,B+
12678,Run the Race,Touchdown for faith-based fans; underage drinking.,3/5
12679,Run the Tide,"Both the film and its star, Taylor Lautner, ore more scenic than dramatic.",1.5/4
12680,Run This Town,"Tollman manages to pull a muscular dark comedy from all this horrid behaviour. The debut writer/director shows off the confidence, skill and style we saw in Jason Reitman's Thank You For Smoking.",3/5
12681,Run with the Hunted,"Some of the film's narrative threads are frustratingly unresolved, while others are wrapped up in arbitrary fashion.",1.5/4
12682,Runaway Bride,The well-matched stars pick up where they left off on that Hollywood fire escape nine years ago.,3/4
12683,Runaway Jury,"Taut suspense, keen twists and a smart, careful disclosure of the plot.",3/4
12684,Runaway Train,Runaway Train belongs to a rare genre: the intelligent thriller.,3.5/4
12685,Rundskop (Bullhead),Take a chance and you will be rewarded with a work of nightmarish force that is unforgettable.,3/4
12686,Runner Runner,"Justin Timberlake and Ben Affleck give their best poker faces but ultimately fail to convince you to gamble your cash away on this limp, unoriginal story of a man out of his depth.",2/5
12687,Runnin' Down a Dream: Tom Petty and the Heartbreakers,"Employs a warm and leisurely, though never sluggish, pace that's upfront about Bogdanovich's intention to take his sweet time tackling every topic of relevant interest.",3/4
12688,Running From Crazy,The only new titbit of information for Hemingway-philes is that none of his grandchildren read his books.,3/5
12689,The Running Man,The movie's problem is that all of the action scenes are versions of the same scenario.,2.5/4
12690,Running on Empty,"These are people who have made a choice and are living with the consequences, and during the course of the film they will have to re-evaluate their decisions.",4/4
12691,Running With Scissors,"If you can appreciate the film as a series of quirky vignettes, without the depth needed to inspire and uplift, then there is plenty to enjoy here.",3.5/5
12692,Running with the Devil,"There's nothing necessarily wrong opting to not name these characters, but boy does it really add to the blank slate of nothingness they all are",1/5
12693,Runoff,"Runoff's finely-observed, understated performances invoke a kind of heartland neo-realism.",B+
12694,Rupture,"Too much time is spent sneaking aimlessly around the building. And when the B-movie reveal finally comes into focus, it feels like a waste of a good set-up.",3/5
12695,Rush,"Aided by two punchy lead turns, an Oscar-worthy script and stunning in-car footage, Howard's race film delivers top-gear drama. A piston- and heart-pumping triumph.",5/5
12696,Rush: Beyond the Lighted Stage,"Aficionados will be gripped, while those not attracted to the sounds will be charmed by the characters.",3/5
12697,Rush Hour,"Tucker's sole focus, a la Groucho Marx, is on what's directly in front of him - and that attitude only reinforces the cruddiness of a vehicle like Rush Hour. The film isn't worth giving a damn about either.",C-
12698,Rush Hour 2,"I wanted more excitement, more character dimension, and a whole hell of a lot less of Chris Tucker's irritating mouth.",3/5
12699,Rush Hour 3,The cinematic equivalent of a third-generation photocopy of a doodle barely worth a glance in the first place.,1/6
12700,Rushlights,"If ever a movie signaled that the Quentin Tarantino copycat age of empty-headed wink-wink genre rehashing is still with us, ""Rushlights"" is that movie.",1/5
12701,Rushmore,"Rushmore as a film exists out of time and place, locked into a vaguely Sixties-ish groove that's only heightened by Schwartzman's dank locks and Anderson's choice of a uniformly British Invasion soundtrack.",4/5
12702,Russell Mulcahy's Tale of the Mummy,Not bad but poor CGI muffles the scares.,3/5
12703,The Russia House,"To judge by this film, the life of a Cold War spy consists of sitting for endless hours in soundproof rooms with people you do not particularly like, waiting for something to happen. Sort of like being a movie critic.",2/4
12704,Russian Dolls (Les Poupées Russes),"Uma continuao no apenas dispensvel, mas que ainda consegue, em certo grau, diminuir nosso carinho pelo original.",3/5
12705,"The Russians Are Coming, the Russians Are Coming",...a disarming send-up of Cold War paranoia.,7/10
12706,Russkies,"I am enough of a realist to realize that adults probably had to come into this plot at one point or another, but the adults, unfortunately, bring grown-up movie cliches along with them, and that spoils some of the fun.",2.5/4
12707,Rust Creek,"A gripping indie thriller -- skillfully made, well-acted, and poignant in ways you don't anticipate.",3.5/4
12708,Rustlers' Rhapsody,Its one-note joke wore thin for me mighty soon.,C
12709,Ruthless People,"DeVito is the mainspring of Ruthless People, the engine of murderous intensity right at the center. His passion is so palpable that it adds weight to all the other performances in the movie.",3.5/4
12710,RV,Any correlation between this movie and human intelligence is purely coincidental.,1/10
12711,Ryan's Daughter,"A disappointing failure of tone, a lush and overblown self-indulgence in which David Lean has given us a great deal less than meets the eye.",2/4
12712,S. Darko: A Donnie Darko Tale,"It's a spineless, careless, bizarrely unadventurous number two that would rather saddle up and rehash Kelly's original screenplay over any clear-cut attempt to cook up some juicy oddities of its own.",D-
12713,S&Man,A darkly insightful and entirely fascinating study of the most disturbing material out there ... and why we like to watch it.,4/5
12714,V/H/S/2,"The four ""tapes"" in S-VHS provide a diverse series of horror short films, but their potential is squandered by the film's overall, disappointing plot, which is a weak-attempted framing device.",5/10
12715,Saban's Power Rangers,Overall the film will be a big hit with the ten and under crowd. The thirty minutes of training montages and robotics are just exciting enough to detract from the weak storyline.,2.5/5
12716,Sabotage,"Sabotage is unusually dark and serious for a Schwarzenegger vehicle, but the star doesn't quite have the acting chops to pull off the moral gray areas.",2.5/5
12717,Saboteur,"The movie has its enjoyable, even humorous moments, but the brooding sense of danger and fear so prominent in his other films, are more noticeably absent.",3/5
12718,Sabretooth,"In the realm of straight-to-video horror, you could certainly do worse than Sabretooth. The film would probably best be enjoyed among friends, with copious amounts of booze handy.",2.5/4
12719,Sacco and Vanzetti,"Even those of us familiar with the case will find fresh insights into a crime and punishment that is, still, wrought with controversy.",B+
12720,Sacred,An intimate portrait from 25 countries of religious rituals and practices that are meaningful to individuals and communities.,4.5/5
12721,Sacred Stage: The Mariinski Theater,Splendid.,4/5
12722,The Saddest Music in the World,"As delirious and idiosyncratic as Maddin's past works, The Saddest Music in the World benefits from more robust pacing, greater narrative coherence and less preciousness overall.",4/5
12723,The Sadist,The Sadist gets a lot of bang for its dollar.,B-
12724,Safe,Director and writer Todd Haynes does a great job of leaving the cause of Carol's disorder open for debate.,4/5
12725,Safe,"The theme seems to be 'a man's redemption,' but this is merely an excuse for little more than a filmed shooting gallery.",C-
12726,Safe Haven,Will satisfy those with a fluffy romantic sweet tooth while the rest will likely suffer from indigestion.,2/5
12727,Safe House,"Safe House plays out just like a romantic comedy, only with slightly more explosions, car chases, hand-cuffings, ear-yankings and stabbings with glass shards.",3/4
12728,Safe Men,"Safe Men whirls wildly from one bright idea to the next, trying to find a combo that will hold the movie together. No luck.",1/4
12729,Safelight,"Bland mismatched lovers drama that benefits from striking locations, decent cast and a tone of exhausted resignation.",2/4
12730,Safety Last!,"Impossible to watch without undergoing visitations of vertigo, Safety Last's climactic sequence is all it's reputed to be.",5/5
12731,Safety Not Guaranteed,"An oddly effective little charmer, ""Safety Not Guaranteed"" ekes out a victory over so much of its indie-darling competition simply by following through on the ideas it introduces.",B-
12732,Sagrada: The Mystery of Creation,Sagrada plays like a video you might buy at the cathedral gift shop that outlines the history of the project.,2/5
12733,The Sailor Who Fell From Grace With the Sea,Highly disturbing film...,3/5
12734,The Saint,A piece of mass-market movie bubblegum that stretches incredulity and then snaps apart.,2/4
12735,Saint Misbehavin': The Wavy Gravy Movie,"Esrick spent 10 years on the film, and the result is a comprehensive portrait.",3/4
12736,Saint Frances,"With charming performances, Saint Frances is a small little indie film from Chicago that manages to tackle some serious issues.",4/5
12737,Saint Jack,One wishes it were more outrageous and less knowing.,2/5
12738,Saint John of Las Vegas,Saint John of Las Vegas marches in lockstep with virtually every cliche of the modern independent film.,2/4
12739,Saint Laurent,We can never have too many scenes of half-naked beautiful people spaced out in slo-mo to Giorgio Morodor-like music.,8.5/10
12740,Saints and Soldiers,"Warmed over Norman Mailer tales -- been there, done that.",54/100
12741,Salem's Lot,"Although this movie is old, and was made with minimal effects, it is still creepy - much more so than any contemporary vampire story or overblown CGI ghost tale.",4/5
12742,Salesman,"a stark, indelible cinematic portrait of the trials and tribulations of the door-to-door salesman, a profession that is virtually extinct today",3.5/4
12743,Salmon Fishing in the Yemen,Trying to get audiences to root for whether fish will swim upstream is often an easier task than getting them to care about whether the two leads will hook up.,6/10
12744,Salome's Last Dance,"Despite the fact that Salome's Last Dance encompasses almost the entire text of a play by Wilde, it seems shapeless and without purpose.",2/4
12745,Salon Kitty (Edited Version),"[A] failure, although with some very interesting moments.",4/10
12746,Salt of the Earth,"Unavoidable classic on a 1950 mine strike, made by McCarthy era blacklisted filmmakers.",5/5
12747,The Salton Sea,It's a sharp movie about otherwise dull subjects.,3.5/5
12748,Saludos Amigos,"A colorful combination of life action, animation and Latin music. A pioneering effort by Disney.",3/5
12749,Salvador,Salvador is long and disjointed and tries to tell too many stories... But the heart of the movie is fascinating.,3/4
12750,Salvage,It's a promising premise that soon gets stuck in a cul-de-sac.,2/5
12751,Salvation Army,Beautifully observed and melancholic,3/4
12752,Salvation Boulevard,"The performances are histrionic and abrasive, in what feels like a rushed production where no one had the time to come up with a unique spin on the material.",D+
